algorithm,instance,mean,std,min,max
CCFRunner-multi,0,48447.9209091313,122.7840520374263,48297.73211883853,48629.446035688896
CCFRunner-multi,1,109608.23824283866,1255.115871454692,107995.80783194987,111960.54702680589
CCFRunner-multi,2,6981.7918681256215,38.43015256096118,6920.25132452876,7032.7739841415205
CCFRunner-multi,3,42902.21353763542,166.67104394007617,42654.4565407564,43175.180800811824
CCFRunner-multi,4,9114.794249466062,49.63415134715059,9060.389394675483,9190.933562262846
CCFRunner-multi,5,59114.596420405454,530.2783613120937,58599.44686639124,59912.30381631639
CCFRunner-multi,6,60079.95366980005,2114.5239933913012,57033.66010845649,63100.487147758635
CCFRunner-multi,7,70378.06000025895,1927.1187004560645,68406.44844159698,74649.3985887708
CCFRunner-multi,8,22488336.221136015,1537628.620021586,21333110.491933066,24970870.987368304
RNRunner,0,49770.99462260578,145.8022417580267,49507.00426465964,49924.581965820864
RNRunner,1,125012.58095035379,6708.068185820331,116043.24569408705,134146.1736093582
RNRunner,2,7026.101904703976,8.769790400578986,7012.568765541625,7040.568657662194
RNRunner,3,43596.53753209824,123.87338289024616,43448.15720243059,43776.18705554768
RNRunner,4,9182.987922682241,16.69443318586903,9158.739106471628,9211.134057263289
RNRunner,5,60546.50262602,271.07724893149185,60053.587831145276,60836.19036075497
RNRunner,6,60601.06147211322,2828.3099752372386,56132.81435530476,63735.07818820642
RNRunner,7,74732.22818438495,4431.743331323758,69611.62321094397,80111.1795887041
RNRunner,8,23037759.061680164,1846580.7290489145,21185495.80228089,25350312.25326606
